lemma,labels,custom
Caesar,"noble title, cognomen, literary work, painting, position, Slavic titles, male given name, municipality of Aragon, human, family name",PERSON
Gallia,"asteroid, nomen, historical region, book series, Roman province, diocese of the Roman Empire, ancient civilization, female given name, military road, nation, archaeology journal, county of Ohio, family name, scientific journal",PLACE
Labienus,"taxon, nomen, year BC, encyclopedia article, comune of Italy, written work, human",PERSON
Belgae,"calendar year, art school, culture, historical region, encyclopedia article, plantation, style, ancient civilization, house, historical ethnic group, state capital in Germany, city, nation, research expedition, urban district of North Rhine-Westphalia, human, urban municipality of Germany, big city, common year starting and ending on Saturday",PEOPLE
Galli,"historical region, hamlet, municipality of Switzerland, benedictine abbey, comune of Italy, ancient civilization, historical profession, digital library, historical ethnic group, chemical element, nation, cantonal capital of Switzerland, college town, chemical entity class, abbey, family name, city of Switzerland, website",PEOPLE
Germani,"modern language, republic, delegated commune, social state, OECD country, historical period, comune of Italy, language, country bordering the Baltic Sea, historical country, commune of France, ethnic group, federation, empire, Rechtsstaat, family name, country, state, abolished municipality in Italy, sovereign state, history of a country or state, colonial power",PEOPLE
Quintus Pedius,"human, year BC, Wikimedia list article, Roman province",PERSON
Senones,"tribe, canton of France (until 2015), encyclopedia article, year BC, war cemetery, commune of France, comune of Italy, historical ethnic group, human, abbey, main stream",PERSON
Remi,"comune of Italy, historical ethnic group, pyramid, mausoleum, city, organization, commune of France, archaeological artifact museum, human, mythological Greek character, family name, archaeological site, human who may be fictional, big city, historical civil building museum, Italian national museum, mononym, Olympic sport, legendary figure, male given name, type of sport",PERSON
Iccius,"human, taxon, nomen, encyclopedia article",PERSON
Andebrogius,UNKNOWN,PERSON
Rhenus,"region of France, commune of France, logistics provider, administrative territorial entity, Celtic deity, river, national waterways in Germany, waterway, department of France, main stream, river personification",PLACE
Suessiones,"tribe, commune of France, ethnic group, historical ethnic group, isolated human group, Wikimedia list article, Civitas",PEOPLE
Diviciacus,"human, ethnic group",PERSON
Aedui,"academic discipline, encyclopedia article, public office, commune of France, ethnic group, siege, written work, battle, isolated human group, Wikimedia list article, human, Civitas",PEOPLE
Bellovaci,"encyclopedia article, commune of France, coin, historical ethnic group, human",PEOPLE
Axona,"taxon, automobile manufacturer, region of France, commune of France, cellular component, monastery, religious community, river, biological process, department of France, former French region",PLACE
Quintus Titurius Sabinus,human,PERSON
Numida,"organisms known by a particular common name, taxon, Roman province, language family, titular see, monotypic taxon, decimal calendar, Wikimedia list article, human, 12 month calendar, key event",PERSON
Cres,"ferry ship, town, cultural institution, biopolymer, comune of Italy, gene, peninsula, geographic location, county of Croatia, Wikimedia list article, human, mythological Greek character, town in Croatia, island",PERSON
Quintus Titurius,human,PERSON
Ambianus,UNKNOWN,PERSON
Nervii,"year BC, city, municipality of Spain, class of anatomical entity, localized structure class type, estuary, historical ethnic group, river, elizate",PEOPLE
Sabis,"asteroid, city, municipality of Belgium, education company, city of Iran, Wikimedia list article, village, Belgian municipality with the title of city, big city, river, human, family name",PLACE
Atrebates,"tribe, encyclopedia article, river, Wikimedia list article, ethnic group, historical ethnic group, isolated human group, Roman client kingdoms in Britain, Civitas",PEOPLE
Viromandui,"tribe, commune of France, ethnic group, historical ethnic group, isolated human group, Wikimedia list article, Civitas",PLACE
Atuatuci,UNKNOWN,PLACE
Publius Crassus,"human, taxon, Wikimedia list article",PERSON
Veneti,"bakery, city, organization, human population, occurrence, sovereign state, commune of France, carfree city, port settlement, comune of Italy, human, ethnic group, isolated human group, people, big city, Italian city-state, country, region of Italy",PEOPLE
Venelli,UNKNOWN,PEOPLE
Osismi,"tribe, fortress, citadel, military camp, ethnic group, historical ethnic group, isolated human group, château, cross-reference, Wikimedia list article, closed city, Civitas",PEOPLE
Coriosolitae,UNKNOWN,PEOPLE
Esuvii,UNKNOWN,PEOPLE
Aulerci,"tribe, academic discipline, encyclopedia article, commune of France, ethnic group, isolated human group, main stream",PEOPLE
Redones,"republic, OECD country, type of French administrative division, territorial collectivity of France with special status, second largest city, college town, tourist destination, capital city, commune of France with specific status, organization, type of legal entity in France, commune of France, port settlement, megacity, country, sovereign state, million city, people, big city, department of France, global city, article, metropolis, Mediterranean country, colonial power, Wikimedia list article, largest city",PEOPLE
Oceanus,"personification, strait, Greek water deities, sea, titan, ocean, Adjacent sea",GOD
Catilina,"case, year BC, cognomen, literary work, Wikimedia list article, occupation, conspiracy, cross-reference, series of creative works, human",PERSON
Publius Scipio,"human, Wikimedia human name disambiguation page, cognomen",PERSON
Tiberius Gracchus,"nomen, year BC, literary work, painting, position, written work, sibling duo, human",PERSON
Gaius Servilius Ahala,"human, Wikimedia human name disambiguation page, Wikimedia list article",PERSON
Spurius Maelius,"human, year BC, Wikimedia human name disambiguation page",PERSON
Lucius Opimius,"human, year BC, Wikimedia human name disambiguation page, Wikimedia list article",PERSON
Gaius Gracchus,"year BC, nomen, literary work, tragedy, written work, sibling duo, human",PERSON
Marcus Fulvius,human,PERSON
Gaius Marius,"slave rebellion, year BC, literary work, male given name, fictional human formerly considered to be historical, human, hypothetical person",PERSON
Lucius Valerius,"human, Wikimedia human name disambiguation page",PERSON
Lucius Saturninus,"human, year",PERSON
Gaius Servilius,"human, Wikimedia human name disambiguation page",PERSON
